<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ВТБ ао;M;01.02.17;00:00:00;0,06608;136916720000
ВТБ ао;M;01.03.17;00:00:00;0,06625;266410390000
ВТБ ао;M;01.04.17;00:00:00;0,06671;207910220000
ВТБ ао;M;01.05.17;00:00:00;0,06615;168505230000
ВТБ ао;M;01.06.17;00:00:00;0,064;252186300000
ВТБ ао;M;01.07.17;00:00:00;0,05969;179099730000
ВТБ ао;M;01.08.17;00:00:00;0,06456;204739850000
ВТБ ао;M;01.09.17;00:00:00;0,06159;293417410000
ВТБ ао;M;01.10.17;00:00:00;0,06;165599290000
ВТБ ао;M;01.11.17;00:00:00;0,05078;433842240000
ВТБ ао;M;01.12.17;00:00:00;0,04732;419332310000
ВТБ ао;M;01.01.18;00:00:00;0,0494;352127560000
ВТБ ао;M;01.02.18;00:00:00;0,05276;578729040000
ВТБ ао;M;01.03.18;00:00:00;0,05166;530212820000
ВТБ ао;M;01.04.18;00:00:00;0,05397;754922430000
ВТБ ао;M;01.05.18;00:00:00;0,04989;502179250000
ВТБ ао;M;01.06.18;00:00:00;0,04801;543856810000
ВТБ ао;M;01.07.18;00:00:00;0,04828;299820580000
ВТБ ао;M;01.08.18;00:00:00;0,0414;405720540000
ВТБ ао;M;01.09.18;00:00:00;0,04076;392395190000
ВТБ ао;M;01.10.18;00:00:00;0,03658;437464790000
ВТБ ао;M;01.11.18;00:00:00;0,0373;459010120000
ВТБ ао;M;01.12.18;00:00:00;0,03385;337608430000
ВТБ ао;M;01.01.19;00:00:00;0,03777;322917130000
ВТБ ао;M;01.02.19;00:00:00;0,0359;286689820000
ВТБ ао;M;01.03.19;00:00:00;0,035645;300233110000
ВТБ ао;M;01.04.19;00:00:00;0,0355;338645330000
ВТБ ао;M;01.05.19;00:00:00;0,036705;504487530000
ВТБ ао;M;01.06.19;00:00:00;0,03988;552706610000
ВТБ ао;M;01.07.19;00:00:00;0,0425;878966510000
ВТБ ао;M;01.08.19;00:00:00;0,03868;588826140000
ВТБ ао;M;01.09.19;00:00:00;0,042595;810694080000
ВТБ ао;M;01.10.19;00:00:00;0,04309;561078690000
ВТБ ао;M;01.11.19;00:00:00;0,04533;790972300000
ВТБ ао;M;01.12.19;00:00:00;0,0459;399669980000
ВТБ ао;M;01.01.20;00:00:00;0,0464;799598550000
ВТБ ао;M;01.02.20;00:00:00;0,04333;598942560000
ВТБ ао;M;01.03.20;00:00:00;0,0326;1740129320000
ВТБ ао;M;01.04.20;00:00:00;0,0349;1423841900000
ВТБ ао;M;01.05.20;00:00:00;0,03631;553192080000
ВТБ ао;M;01.06.20;00:00:00;0,03505;644559090000
