<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,60,20210108,210000,475.0500000
ROSN,60,20210108,220000,475.6000000
ROSN,60,20210108,230000,476.8500000
ROSN,60,20210109,000000,478.2000000
ROSN,60,20210111,110000,471.3000000
ROSN,60,20210111,120000,477.4500000
ROSN,60,20210111,130000,476.2500000
ROSN,60,20210111,140000,474.2000000
ROSN,60,20210111,150000,474.0500000
ROSN,60,20210111,160000,474.5500000
ROSN,60,20210111,170000,471.4000000
ROSN,60,20210111,180000,472.9000000
ROSN,60,20210111,190000,473.0000000
ROSN,60,20210111,200000,474.4000000
ROSN,60,20210111,210000,474.4500000
ROSN,60,20210111,220000,473.7500000
ROSN,60,20210111,230000,473.5500000
ROSN,60,20210112,000000,473.2500000
ROSN,60,20210112,110000,476.1500000
ROSN,60,20210112,120000,473.2500000
ROSN,60,20210112,130000,476.6000000
ROSN,60,20210112,140000,476.8000000
ROSN,60,20210112,150000,475.5500000
ROSN,60,20210112,160000,474.3500000
ROSN,60,20210112,170000,471.6000000
ROSN,60,20210112,180000,472.5000000
ROSN,60,20210112,190000,475.0000000
ROSN,60,20210112,200000,474.0000000
ROSN,60,20210112,210000,472.9000000
ROSN,60,20210112,220000,472.4500000
ROSN,60,20210112,230000,473.3500000
ROSN,60,20210113,000000,474.4000000
ROSN,60,20210113,110000,477.6000000
ROSN,60,20210113,120000,481.6000000
ROSN,60,20210113,130000,485.0000000
ROSN,60,20210113,140000,484.2500000
ROSN,60,20210113,150000,488.8500000
ROSN,60,20210113,160000,486.9500000
ROSN,60,20210113,170000,489.4000000
ROSN,60,20210113,180000,484.4000000
ROSN,60,20210113,190000,488.0500000
ROSN,60,20210113,200000,485.7500000
ROSN,60,20210113,210000,486.5500000
ROSN,60,20210113,220000,487.1000000
ROSN,60,20210113,230000,487.6000000
ROSN,60,20210114,000000,485.9500000
ROSN,60,20210114,110000,493.0000000
ROSN,60,20210114,120000,494.2000000
ROSN,60,20210114,130000,494.5500000
ROSN,60,20210114,140000,497.4000000
ROSN,60,20210114,150000,497.9500000
ROSN,60,20210114,160000,501.6000000
ROSN,60,20210114,170000,500.4500000
ROSN,60,20210114,180000,503.7000000
ROSN,60,20210114,190000,504.0000000
ROSN,60,20210114,200000,504.1500000
ROSN,60,20210114,210000,504.5000000
ROSN,60,20210114,220000,504.6000000
ROSN,60,20210114,230000,504.2500000
ROSN,60,20210115,000000,505.0000000
ROSN,60,20210115,110000,500.2000000
ROSN,60,20210115,120000,498.7000000
ROSN,60,20210115,130000,504.3500000
ROSN,60,20210115,140000,503.9500000
ROSN,60,20210115,150000,506.1000000
ROSN,60,20210115,160000,506.7000000
ROSN,60,20210115,170000,510.3500000
ROSN,60,20210115,180000,515.0000000
ROSN,60,20210115,190000,514.3000000
ROSN,60,20210115,200000,510.3500000
ROSN,60,20210115,210000,511.0500000
ROSN,60,20210115,220000,513.6500000
ROSN,60,20210115,230000,511.8500000
ROSN,60,20210116,000000,512.2000000
ROSN,60,20210118,110000,506.8500000
ROSN,60,20210118,120000,511.2500000
ROSN,60,20210118,130000,513.2500000
ROSN,60,20210118,140000,514.8500000
ROSN,60,20210118,150000,516.4000000
ROSN,60,20210118,160000,515.0500000
ROSN,60,20210118,170000,514.3500000
ROSN,60,20210118,180000,516.9000000
ROSN,60,20210118,190000,518.8000000
ROSN,60,20210118,200000,517.2000000
ROSN,60,20210118,210000,516.1500000
ROSN,60,20210118,220000,516.3000000
ROSN,60,20210118,230000,516.3500000
ROSN,60,20210119,000000,516.5000000
ROSN,60,20210119,110000,520.6000000
ROSN,60,20210119,120000,515.1000000
ROSN,60,20210119,130000,513.6000000
ROSN,60,20210119,140000,512.1000000
ROSN,60,20210119,150000,510.5500000
ROSN,60,20210119,160000,510.1000000
ROSN,60,20210119,170000,507.6500000
ROSN,60,20210119,180000,508.6000000
ROSN,60,20210119,190000,510.6500000
ROSN,60,20210119,200000,509.4000000
ROSN,60,20210119,210000,509.7500000
ROSN,60,20210119,220000,509.3000000
ROSN,60,20210119,230000,509.9000000
ROSN,60,20210120,000000,510.7000000
ROSN,60,20210120,110000,513.2000000
ROSN,60,20210120,120000,513.8500000
ROSN,60,20210120,130000,509.0500000
ROSN,60,20210120,140000,511.3000000
ROSN,60,20210120,150000,509.6000000
ROSN,60,20210120,160000,509.3000000
ROSN,60,20210120,170000,510.2000000
ROSN,60,20210120,180000,508.8500000
ROSN,60,20210120,190000,508.9000000
ROSN,60,20210120,200000,508.8000000
ROSN,60,20210120,210000,508.4000000
ROSN,60,20210120,220000,508.5500000
ROSN,60,20210120,230000,509.8000000
ROSN,60,20210121,000000,510.6500000
ROSN,60,20210121,110000,508.6000000
ROSN,60,20210121,120000,501.6500000
ROSN,60,20210121,130000,500.7500000
ROSN,60,20210121,140000,500.6000000
ROSN,60,20210121,150000,499.6500000
ROSN,60,20210121,160000,499.0000000
ROSN,60,20210121,170000,499.0000000
ROSN,60,20210121,180000,497.4000000
ROSN,60,20210121,190000,499.3000000
ROSN,60,20210121,200000,496.7500000
ROSN,60,20210121,210000,497.2500000
ROSN,60,20210121,220000,497.2500000
ROSN,60,20210121,230000,498.5000000
ROSN,60,20210122,000000,498.0000000
ROSN,60,20210122,110000,491.6000000
ROSN,60,20210122,120000,487.1500000
ROSN,60,20210122,130000,489.4000000
ROSN,60,20210122,140000,488.0500000
ROSN,60,20210122,150000,491.1500000
ROSN,60,20210122,160000,490.1000000
ROSN,60,20210122,170000,490.2000000
ROSN,60,20210122,180000,491.4000000
ROSN,60,20210122,190000,491.1500000
ROSN,60,20210122,200000,492.4000000
ROSN,60,20210122,210000,492.8500000
ROSN,60,20210122,220000,494.2000000
ROSN,60,20210122,230000,494.5000000
ROSN,60,20210123,000000,494.2500000
ROSN,60,20210125,110000,498.4500000
ROSN,60,20210125,120000,497.8000000
ROSN,60,20210125,130000,496.9000000
ROSN,60,20210125,140000,498.8000000
ROSN,60,20210125,150000,492.6500000
ROSN,60,20210125,160000,493.8500000
ROSN,60,20210125,170000,491.1500000
ROSN,60,20210125,180000,491.7000000
ROSN,60,20210125,190000,495.8000000
ROSN,60,20210125,200000,492.9500000
ROSN,60,20210125,210000,493.7500000
ROSN,60,20210125,220000,494.6000000
ROSN,60,20210125,230000,494.8500000
ROSN,60,20210126,000000,495.6000000
ROSN,60,20210126,110000,489.3000000
ROSN,60,20210126,120000,493.9500000
ROSN,60,20210126,130000,496.3500000
ROSN,60,20210126,140000,495.5000000
ROSN,60,20210126,150000,495.3000000
ROSN,60,20210126,160000,495.4500000
ROSN,60,20210126,170000,494.5000000
ROSN,60,20210126,180000,491.8500000
ROSN,60,20210126,190000,493.9500000
ROSN,60,20210126,200000,493.4500000
ROSN,60,20210126,210000,493.4000000
ROSN,60,20210126,220000,493.6000000
ROSN,60,20210126,230000,493.6000000
ROSN,60,20210127,000000,493.9500000
ROSN,60,20210127,110000,494.4500000
ROSN,60,20210127,120000,492.1000000
ROSN,60,20210127,130000,491.9500000
ROSN,60,20210127,140000,490.9500000
ROSN,60,20210127,150000,488.4000000
ROSN,60,20210127,160000,485.8000000
ROSN,60,20210127,170000,485.4000000
ROSN,60,20210127,180000,482.2000000
ROSN,60,20210127,190000,482.2000000
ROSN,60,20210127,200000,482.6000000
ROSN,60,20210127,210000,483.8000000
ROSN,60,20210127,220000,483.8500000
ROSN,60,20210127,230000,482.0500000
ROSN,60,20210128,000000,481.2500000
ROSN,60,20210128,110000,478.2000000
ROSN,60,20210128,120000,476.6500000
ROSN,60,20210128,130000,478.1000000
ROSN,60,20210128,140000,478.4000000
ROSN,60,20210128,150000,480.9000000
ROSN,60,20210128,160000,482.9500000
ROSN,60,20210128,170000,483.5500000
ROSN,60,20210128,180000,482.1000000
ROSN,60,20210128,190000,481.8500000
ROSN,60,20210128,200000,481.3500000
ROSN,60,20210128,210000,482.0500000
ROSN,60,20210128,220000,484.1000000
ROSN,60,20210128,230000,483.6500000
ROSN,60,20210129,000000,483.4000000
ROSN,60,20210129,110000,477.9000000
ROSN,60,20210129,120000,478.8500000
ROSN,60,20210129,130000,477.4500000
ROSN,60,20210129,140000,478.3000000
ROSN,60,20210129,150000,479.2500000
ROSN,60,20210129,160000,477.1500000
ROSN,60,20210129,170000,476.9000000
ROSN,60,20210129,180000,475.9000000
ROSN,60,20210129,190000,475.2000000
ROSN,60,20210129,200000,472.4000000
ROSN,60,20210129,210000,473.2500000
ROSN,60,20210129,220000,472.9500000
ROSN,60,20210129,230000,472.9500000
ROSN,60,20210130,000000,473.0000000
ROSN,60,20210201,110000,475.9000000
ROSN,60,20210201,120000,474.6500000
ROSN,60,20210201,130000,473.3000000
ROSN,60,20210201,140000,469.7500000
ROSN,60,20210201,150000,471.8500000
ROSN,60,20210201,160000,474.9500000
ROSN,60,20210201,170000,474.8000000
ROSN,60,20210201,180000,474.3000000
ROSN,60,20210201,190000,473.6000000
ROSN,60,20210201,200000,475.2500000
ROSN,60,20210201,210000,475.4000000
ROSN,60,20210201,220000,476.5500000
ROSN,60,20210201,230000,477.6500000
ROSN,60,20210202,000000,478.3500000
ROSN,60,20210202,110000,485.1500000
ROSN,60,20210202,120000,481.2500000
ROSN,60,20210202,130000,482.9000000
ROSN,60,20210202,140000,483.4000000
ROSN,60,20210202,150000,482.3500000
ROSN,60,20210202,160000,485.0000000
ROSN,60,20210202,170000,484.2000000
ROSN,60,20210202,180000,486.3000000
ROSN,60,20210202,190000,485.9000000
ROSN,60,20210202,200000,486.0000000
ROSN,60,20210202,210000,484.8500000
ROSN,60,20210202,220000,484.5000000
ROSN,60,20210202,230000,481.5000000
ROSN,60,20210203,000000,482.0000000
