<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;19/07/19;000000;0.0424500;0.0428500;0.0422000;0.0424000;19306450000
VTBR;D;22/07/19;000000;0.0425300;0.0439000;0.0420400;0.0434050;52622210000
VTBR;D;23/07/19;000000;0.0435950;0.0440000;0.0432200;0.0432300;25836990000
VTBR;D;24/07/19;000000;0.0434400;0.0436600;0.0426200;0.0429500;21844850000
VTBR;D;25/07/19;000000;0.0429600;0.0436900;0.0425200;0.0431500;22604560000
VTBR;D;26/07/19;000000;0.0430950;0.0432200;0.0425500;0.0427000;21280390000
VTBR;D;29/07/19;000000;0.0427650;0.0431000;0.0424700;0.0428100;13508650000
VTBR;D;30/07/19;000000;0.0429000;0.0430600;0.0425650;0.0428000;10917470000
VTBR;D;31/07/19;000000;0.0428050;0.0429500;0.0425000;0.0425000;14277000000
VTBR;D;01/08/19;000000;0.0423900;0.0427800;0.0422500;0.0425350;17742300000
VTBR;D;02/08/19;000000;0.0419950;0.0422000;0.0414300;0.0420150;61901000000
VTBR;D;05/08/19;000000;0.0419350;0.0428400;0.0415000;0.0415450;28957380000
VTBR;D;06/08/19;000000;0.0416550;0.0419100;0.0414500;0.0416000;19843980000
VTBR;D;07/08/19;000000;0.0416100;0.0418200;0.0407500;0.0408500;34118480000
VTBR;D;08/08/19;000000;0.0410850;0.0414900;0.0401250;0.0410000;58329170000
VTBR;D;09/08/19;000000;0.0408900;0.0408950;0.0404600;0.0406000;15308110000
VTBR;D;12/08/19;000000;0.0406950;0.0409500;0.0405250;0.0406000;14145470000
VTBR;D;13/08/19;000000;0.0406100;0.0406550;0.0398850;0.0402200;27719120000
VTBR;D;14/08/19;000000;0.0403200;0.0403550;0.0389200;0.0390100;31893100000
VTBR;D;15/08/19;000000;0.0392350;0.0393650;0.0384900;0.0386300;30265780000
VTBR;D;16/08/19;000000;0.0388200;0.0390650;0.0381000;0.0381000;21539680000
VTBR;D;19/08/19;000000;0.0383500;0.0385750;0.0381400;0.0383650;22953560000
VTBR;D;20/08/19;000000;0.0383600;0.0395200;0.0383600;0.0393200;39427840000
VTBR;D;21/08/19;000000;0.0394050;0.0397550;0.0391400;0.0393300;20298460000
VTBR;D;22/08/19;000000;0.0392500;0.0393800;0.0385700;0.0385700;17414290000
VTBR;D;23/08/19;000000;0.0386200;0.0387750;0.0379450;0.0381050;25242550000
VTBR;D;26/08/19;000000;0.0378950;0.0383950;0.0377700;0.0380600;18057760000
VTBR;D;27/08/19;000000;0.0381450;0.0383800;0.0378850;0.0383800;19699900000
VTBR;D;28/08/19;000000;0.0384400;0.0385150;0.0380850;0.0384700;14992000000
VTBR;D;29/08/19;000000;0.0384450;0.0389800;0.0382700;0.0385800;24460970000
VTBR;D;30/08/19;000000;0.0385800;0.0387900;0.0382850;0.0386800;22721990000
VTBR;D;02/09/19;000000;0.0386600;0.0396800;0.0386100;0.0394050;30802070000
