<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;27/12/18;000000;4901.0000000;4925.5000000;4858.0000000;4884.0000000;492346
LKOH;D;28/12/18;000000;4911.5000000;5009.5000000;4901.5000000;4955.5000000;662150
LKOH;D;29/12/18;000000;4975.0000000;5000.0000000;4965.0000000;4997.0000000;56727
LKOH;D;03/01/19;000000;4982.0000000;5050.0000000;4886.5000000;5007.0000000;631615
LKOH;D;04/01/19;000000;5024.5000000;5083.0000000;5021.0000000;5074.5000000;350474
LKOH;D;08/01/19;000000;5038.5000000;5056.0000000;4964.5000000;5039.0000000;987712
LKOH;D;09/01/19;000000;5049.0000000;5077.0000000;5025.0000000;5060.0000000;819984
LKOH;D;10/01/19;000000;5045.0000000;5152.0000000;5004.0000000;5152.0000000;806494
LKOH;D;11/01/19;000000;5155.0000000;5212.0000000;5135.5000000;5200.0000000;682067
LKOH;D;14/01/19;000000;5175.0000000;5200.0000000;5134.5000000;5200.0000000;417211
LKOH;D;15/01/19;000000;5214.0000000;5237.5000000;5125.0000000;5195.0000000;609635
LKOH;D;16/01/19;000000;5199.0000000;5209.5000000;5114.0000000;5129.0000000;507266
LKOH;D;17/01/19;000000;5122.0000000;5187.0000000;5060.0000000;5184.5000000;704313
LKOH;D;18/01/19;000000;5190.0000000;5206.0000000;5143.0000000;5193.5000000;584946
LKOH;D;21/01/19;000000;5207.5000000;5224.0000000;5180.5000000;5200.0000000;279718
LKOH;D;22/01/19;000000;5187.0000000;5212.0000000;5158.5000000;5186.0000000;651425
LKOH;D;23/01/19;000000;5190.0000000;5222.0000000;5176.5000000;5205.5000000;591116
LKOH;D;24/01/19;000000;5185.5000000;5196.5000000;5143.5000000;5196.5000000;639779
LKOH;D;25/01/19;000000;5196.0000000;5246.0000000;5183.5000000;5215.0000000;665388
LKOH;D;28/01/19;000000;5212.0000000;5215.0000000;5143.0000000;5165.0000000;659653
LKOH;D;29/01/19;000000;5150.5000000;5215.0000000;5136.0000000;5196.5000000;514678
LKOH;D;30/01/19;000000;5184.5000000;5227.0000000;5184.0000000;5227.0000000;456459
LKOH;D;31/01/19;000000;5241.5000000;5300.0000000;5228.0000000;5272.5000000;789846
LKOH;D;01/02/19;000000;5265.5000000;5329.5000000;5241.0000000;5319.5000000;546317
LKOH;D;04/02/19;000000;5330.0000000;5406.0000000;5314.5000000;5350.0000000;489070
LKOH;D;05/02/19;000000;5363.5000000;5435.0000000;5363.0000000;5435.0000000;392905
LKOH;D;06/02/19;000000;5439.0000000;5488.5000000;5402.5000000;5461.0000000;567976
LKOH;D;07/02/19;000000;5442.0000000;5464.5000000;5385.0000000;5385.0000000;558896
LKOH;D;08/02/19;000000;5368.0000000;5403.0000000;5334.5000000;5386.0000000;514434
LKOH;D;11/02/19;000000;5382.0000000;5440.0000000;5380.0000000;5419.5000000;424220
LKOH;D;12/02/19;000000;5419.5000000;5475.5000000;5391.5000000;5439.0000000;437942
LKOH;D;13/02/19;000000;5432.5000000;5435.5000000;5313.0000000;5351.0000000;749959
LKOH;D;14/02/19;000000;5313.0000000;5395.0000000;5291.0000000;5360.5000000;811001
LKOH;D;15/02/19;000000;5386.5000000;5448.0000000;5361.5000000;5426.0000000;455032
LKOH;D;18/02/19;000000;5440.0000000;5485.5000000;5404.0000000;5483.5000000;505005
LKOH;D;19/02/19;000000;5484.0000000;5496.0000000;5428.5000000;5443.5000000;518590
LKOH;D;20/02/19;000000;5455.0000000;5495.0000000;5438.5000000;5445.0000000;583576
LKOH;D;21/02/19;000000;5438.0000000;5465.5000000;5416.0000000;5447.5000000;472522
LKOH;D;22/02/19;000000;5455.0000000;5527.0000000;5445.5000000;5527.0000000;570703
LKOH;D;25/02/19;000000;5531.0000000;5587.5000000;5496.5000000;5533.0000000;547672
