<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MVID;D;19/04/19;000000;410.0000000;420.0000000;407.8000000;414.1000000;1054110
MVID;D;22/04/19;000000;414.9000000;421.0000000;413.9000000;419.9000000;1723570
MVID;D;23/04/19;000000;420.0000000;421.2000000;415.7000000;420.9000000;1592200
MVID;D;24/04/19;000000;421.3000000;421.3000000;417.9000000;421.1000000;2894460
MVID;D;25/04/19;000000;419.8000000;420.8000000;417.5000000;418.5000000;19630
MVID;D;26/04/19;000000;420.2000000;420.2000000;417.3000000;417.5000000;24000
MVID;D;29/04/19;000000;417.2000000;420.3000000;417.2000000;419.0000000;20130
MVID;D;30/04/19;000000;418.4000000;422.0000000;407.2000000;422.0000000;111590
MVID;D;02/05/19;000000;422.2000000;422.3000000;418.1000000;422.3000000;113040
MVID;D;03/05/19;000000;422.4000000;424.5000000;419.9000000;422.5000000;37560
MVID;D;06/05/19;000000;421.2000000;421.2000000;415.3000000;417.3000000;28430
MVID;D;07/05/19;000000;416.5000000;420.0000000;416.5000000;420.0000000;18080
MVID;D;08/05/19;000000;419.6000000;419.6000000;416.2000000;417.3000000;16540
MVID;D;10/05/19;000000;416.2000000;424.9000000;416.0000000;423.8000000;40120
MVID;D;13/05/19;000000;422.6000000;422.6000000;419.5000000;419.8000000;33310
MVID;D;14/05/19;000000;417.9000000;421.5000000;416.2000000;420.3000000;134070
MVID;D;15/05/19;000000;419.0000000;421.2000000;418.6000000;418.7000000;43790
MVID;D;16/05/19;000000;420.2000000;421.0000000;313.1000000;415.8000000;101650
MVID;D;17/05/19;000000;413.7000000;420.0000000;412.1000000;419.9000000;44370
MVID;D;20/05/19;000000;418.5000000;421.0000000;418.3000000;419.4000000;35990
MVID;D;21/05/19;000000;419.4000000;424.0000000;418.3000000;423.9000000;741320
MVID;D;22/05/19;000000;423.4000000;423.8000000;421.5000000;423.7000000;755070
MVID;D;23/05/19;000000;424.9000000;424.9000000;419.1000000;419.1000000;793900
MVID;D;24/05/19;000000;418.2000000;423.2000000;415.3000000;423.2000000;799810
MVID;D;27/05/19;000000;421.9000000;423.7000000;417.9000000;421.0000000;1002930
MVID;D;28/05/19;000000;422.1000000;423.3000000;410.2000000;410.2000000;687950
MVID;D;29/05/19;000000;414.2000000;425.2000000;413.0000000;420.8000000;851090
MVID;D;30/05/19;000000;424.2000000;425.5000000;418.6000000;419.0000000;715050
MVID;D;31/05/19;000000;420.6000000;424.9000000;420.4000000;424.4000000;639740
MVID;D;03/06/19;000000;424.6000000;425.7000000;422.7000000;423.6000000;788990
MVID;D;04/06/19;000000;423.9000000;426.0000000;422.5000000;426.0000000;370540
MVID;D;05/06/19;000000;426.2000000;428.8000000;421.4000000;425.6000000;716040
MVID;D;06/06/19;000000;424.1000000;425.9000000;424.1000000;425.8000000;379160
MVID;D;07/06/19;000000;426.3000000;427.5000000;424.9000000;425.5000000;371120
MVID;D;10/06/19;000000;426.8000000;426.8000000;425.0000000;426.4000000;417430
MVID;D;11/06/19;000000;425.3000000;427.2000000;424.6000000;425.3000000;285790
MVID;D;13/06/19;000000;427.7000000;428.0000000;424.0000000;425.5000000;408220
MVID;D;14/06/19;000000;428.5000000;428.8000000;420.0000000;424.1000000;287900
MVID;D;17/06/19;000000;423.3000000;427.4000000;423.3000000;427.4000000;249760
MVID;D;18/06/19;000000;428.5000000;429.0000000;425.0000000;428.2000000;313010
MVID;D;19/06/19;000000;426.6000000;427.5000000;425.0000000;426.0000000;240510
MVID;D;20/06/19;000000;427.2000000;428.3000000;425.6000000;425.8000000;560410
MVID;D;21/06/19;000000;426.6000000;428.0000000;426.3000000;428.0000000;218250
MVID;D;24/06/19;000000;428.5000000;428.5000000;421.1000000;423.8000000;727440
MVID;D;25/06/19;000000;423.6000000;427.3000000;423.5000000;424.5000000;765820
MVID;D;26/06/19;000000;426.4000000;427.8000000;425.9000000;427.8000000;861880
MVID;D;27/06/19;000000;427.6000000;427.6000000;426.3000000;427.3000000;835330
MVID;D;28/06/19;000000;425.6000000;427.7000000;424.1000000;426.9000000;839280
MVID;D;01/07/19;000000;427.5000000;429.4000000;425.3000000;429.4000000;851900
MVID;D;02/07/19;000000;427.3000000;429.1000000;426.5000000;429.1000000;852330
MVID;D;03/07/19;000000;428.0000000;428.4000000;427.9000000;428.4000000;677570
MVID;D;04/07/19;000000;428.6000000;428.7000000;428.1000000;428.7000000;966200
MVID;D;05/07/19;000000;428.6000000;437.7000000;427.0000000;429.0000000;682880
MVID;D;08/07/19;000000;427.5000000;435.9000000;427.0000000;430.9000000;48620
MVID;D;09/07/19;000000;431.9000000;432.1000000;429.5000000;429.5000000;37450
MVID;D;10/07/19;000000;430.6000000;458.8000000;424.0000000;432.4000000;254210
MVID;D;11/07/19;000000;434.0000000;435.0000000;428.7000000;430.4000000;46720
MVID;D;12/07/19;000000;430.3000000;430.3000000;428.6000000;429.8000000;15760
MVID;D;15/07/19;000000;430.0000000;435.1000000;426.4000000;431.6000000;40430
MVID;D;16/07/19;000000;433.0000000;434.6000000;427.5000000;431.3000000;74600
MVID;D;17/07/19;000000;432.8000000;434.7000000;425.0000000;427.2000000;87970
MVID;D;18/07/19;000000;427.8000000;431.6000000;426.4000000;430.0000000;31250
MVID;D;19/07/19;000000;434.4000000;434.4000000;427.1000000;428.8000000;17670
MVID;D;22/07/19;000000;429.9000000;431.6000000;428.4000000;429.4000000;19190
MVID;D;23/07/19;000000;431.9000000;431.9000000;427.3000000;428.3000000;20570
MVID;D;24/07/19;000000;429.9000000;434.4000000;424.3000000;430.8000000;469990
MVID;D;25/07/19;000000;432.0000000;432.0000000;422.6000000;422.8000000;1071270
MVID;D;26/07/19;000000;424.8000000;427.6000000;419.0000000;419.9000000;927340
MVID;D;29/07/19;000000;420.6000000;427.2000000;419.9000000;425.3000000;843200
MVID;D;30/07/19;000000;423.7000000;428.9000000;422.2000000;422.2000000;857660
MVID;D;31/07/19;000000;424.9000000;429.0000000;423.2000000;429.0000000;925350
MVID;D;01/08/19;000000;429.5000000;430.0000000;424.0000000;424.0000000;879560
MVID;D;02/08/19;000000;425.8000000;432.6000000;424.0000000;424.5000000;931420
MVID;D;05/08/19;000000;426.1000000;430.2000000;421.4000000;424.4000000;924190
MVID;D;06/08/19;000000;424.7000000;430.1000000;423.4000000;425.6000000;935490
MVID;D;07/08/19;000000;426.2000000;448.0000000;424.2000000;446.5000000;957060
MVID;D;08/08/19;000000;446.3000000;447.3000000;423.3000000;423.3000000;1253120
MVID;D;09/08/19;000000;424.9000000;434.5000000;424.6000000;428.9000000;1037840
MVID;D;12/08/19;000000;426.7000000;428.4000000;424.3000000;425.6000000;908670
MVID;D;13/08/19;000000;425.8000000;427.4000000;423.0000000;423.6000000;1017740
MVID;D;14/08/19;000000;424.4000000;428.5000000;424.0000000;426.5000000;1143410
MVID;D;15/08/19;000000;425.1000000;427.3000000;422.1000000;424.5000000;1076750
MVID;D;16/08/19;000000;425.5000000;431.7000000;425.1000000;431.7000000;813350
MVID;D;19/08/19;000000;426.9000000;443.8000000;426.9000000;431.6000000;318400
MVID;D;20/08/19;000000;434.9000000;449.9000000;431.3000000;449.9000000;86240
MVID;D;21/08/19;000000;444.9000000;448.3000000;442.6000000;446.9000000;31280
