Номер	Банк	Рег. Номер	Реутеры	Филиалы	Город	Количество рабочих	Сумма активов	Собственные активы	Банковские активы	Депозиты физ. лиц	Депозиты Юр. лиц	Привил. ресурсы	Ссуда, руб.	Ссуда, долл.	Средства в Банке	Межфилиальные средства	Бюджет	Прибыль	Карты	Гос. облигации	Средства ДУ
76	"ОАО ""Омскпромстройбанк"""	1693	-	15	Омск	881	2077198	306844	1940347	516444	794031	16874	834345	199074	72796	0	1257	53428	85637	68308	39389
77	"КБ ""Гаранти Банк-Москва"""	3275	GBMR	0	Москва	64	1975412	466340	1951263	42631	0	827555	52	362010	355105	0	0	41700	3271	380505	0
78	"АКБ ""МБРР"""	2268	MBRD	5	Москва	279	1919367	766181	1741201	38514	226990	0	204323	153249	34710	118442	0	0	13373	333457	0
79	"ОАО ""СОЦИНВЕСТБАНК"""	11	-	1132	Уфа	1177	1790708	222197	1654724	203875	910815	95000	532518	1096	175156	105444	0	39848	1529	109693	0
80	"ООО КБ ""МОНЧЕБАНК"""	1276	MONM	3	Мурманск	221	1761837	140445	1455252	166011	741327	38260	145874	31643	695134	214954	0	9916	0	160096	0
81	"ОАО КБ ""ИНФОБАНК"""	2357	INEB	2	Москва	315	1757364	502819	1339691	45062	244245	645257	8186	61882	406381	160	0	13503	5595	0	0
82	СЕВЕРНАЯ КАЗНА	2083	SEKA	6	Екатеринбург	643	1756271	157232	1636896	414709	104186	276211	574427	154827	486551	85500	0	28054	83037	32639	0
83	"АИКБ ""Татфондбанк"	3058	-	1	Казань	230	1691216	402512	1469581	79414	781259	56649	645244	34420	308443	48505	159336	5042	0	5330	0
84	Межтопэнергобанк	2956	MTEB	0	Москва	300	1662652	76092	1647853	77476	1134734	285075	578720	23414	493798	0	0	18398	32	26877	0
85	"Банк ""Диалог-Оптим"""	3107	DIOP	4	Москва	578	1617731	394077	1566401	86803	365645	316642	569396	26949	60460	46560	0	5138	1291	6190	0
86	"КБ ""ПЛАТИНА"""	2347	-	0	Москва	163	1605462	389548	1592552	74016	98949	41099	427111	226437	363343	0	0	3217	50160	0	0
87	УБРиР	429	UBRD	4	Екатеринбург	319	1589711	216673	1513745	299980	487415	60961	463190	519717	104483	67360	0	5123	18524	6985	1900
88	"ОАО ""Уралтрансбанк"""	812	-	10	Екатеринбург	724	1546826	208651	1364547	288026	5695	9101	520835	30949	242090	136056	0	11159	17740	55457	135
89	"ОАО КБ ""СЕВЕРГАЗБАНК"""	2816	-	13	Вологда	495	1525327	137068	1335296	245693	594009	29448	447269	226871	95781	162868	0	35144	3323	1655	10028
90	"АКБ ""Абсолют Банк"""	2306	ABSO	0	Москва	298	1523083	289167	1519856	24903	0	182415	448154	255109	444869	0	0	11602	392	17647	62554
91	"АКБ ""Ланта-Банк"""	1920	LANT	3	Москва	0	1510365	463660	1401703	185299	180694	278158	522210	64670	229951	99306	0	1327	2795	8515	0
92	"АКБ ""Связь-Банк"""	1470	-	28	Москва	913	1458028	76290	1223795	119962	798491	70490	389558	21754	33680	222100	0	9107	8968	79227	0
93	Дальневосточный банк	843	FAEB	9	Владивосток	0	1450155	167122	1145634	92560	639916	30413	398198	89287	139138	169236	1693	17152	47649	35284	0
94	НЕФТЕПРОМБАНК	2156	NEPB	1	Москва	128	1432116	207624	1292174	171148	519292	238895	191815	128544	465993	124028	0	32432	2218	91780	0
95	"АКБ ""Япы Креди Москва"""	2555	YKBM	0	Москва	58	1383592	495113	1056798	104997	245239	341040	5500	435001	408210	0	0	142876	0	119195	0
96	"КБ ""Международный Банк Развития"""	2704	-	0	Москва	67	1368301	868992	1212906	32224	276457	146925	1045903	16842	97175	0	0	6546	0	231	0
97	"ООО КБК ""Снежинский"""	1376	-	0	Снежинск	115	1349486	265564	861370	17786	22456	12032	499529	35748	395915	0	0	3841	0	18413	0
98	"АКБ ""РУССЛАВБАНК"""	1073	RSLB	3	Москва	550	1344550	131894	1164254	103015	492251	289285	147805	147840	402158	171579	0	9968	9097	23011	0
99	"АКБ ""Транскапиталбанк"""	22	TCBM	2	Москва	274	1325282	237218	1219556	124796	37641	105519	266317	186036	164550	100519	0	23039	2422	13599	0
100	"КБ ""СОДБИЗНЕСБАНК"""	1601	BOBM	9	Москва	305	1324791	217279	1321155	57116	792566	180648	450749	49159	227227	0	0	5610	3477	66968	0
